
'DATA_TYPE'||','||'COUNT'||','||'EXAMPLE_TAB
DATA_TYPE,COUNT,EXAMPLE_TABLE,EXAMPLE_COLUMN

DATA_TYPE||','||COUNT(*)||','||MIN(TABLE_NAME)||','||MIN(COLUMN_NAME)
VARCHAR2,51162,AA,022
NUMBER,18899,AA,A
DATE,6673,ACTIVE,ACCEPTDATE
CHAR,925,AA,ACCEPT
CLOB,847,APEX$_WS_NOTES,A001
TIMESTAMP(6),354,ADDRESS,CREATED
BLOB,233,ACCESS_POINT,ATTACHMENT
RAW,162,AQ$CHANGE_LOG_QUEUE_TABLE,ACTION_GUID
UNDEFINED,157,DEPOT_56M,ACCOUNT_EXPIRY
TIMESTAMP(6) WITH TIME ZONE,111,APEX$ARCHIVE_CONTENTS,CONTENT_LAST_UPDATED
ANYDATA,22,AQ$_CHANGE_LOG_QUEUE_TABLE_F,USER_PROP
AQ$_JMS_MESSAGE,21,AQ$ORASDPMAPPDEFRCVT1,USER_DATA
TIMESTAMP(6) WITH LOCAL TIME ZONE,18,APEX$ARCHIVE_CONTENTS,CONTENT_LAST_UPDATED
ROWID,17,AQ$_CHANGE_LOG_QUEUE_TABLE_F,HINT
XMLTYPE,15,WWV_DEMO_DEPT,BUDGET
NVARCHAR2,12,REPORT_QUERIES,DISP_HEADERS
AQ$_JMS_TEXT_MESSAGE,8,AQ$RECV_CFO_QUEUE_TABLE,USER_DATA
NCLOB,6,APEX_APPLICATION_TRANS_REPOS,FROM_STRING
LONG,6,APEX_SYS_ALL_CONSTRAINTS,OTHER
FLOAT,6,APEX_MIGRATION_ACC_PROJECTS,JETVERSION
AQ$_SIG_PROP,6,AQ$_CHANGE_LOG_QUEUE_TABLE_G,DBS_SIGN
GSM_CHANGE_MESSAGE,4,AQ$CHANGE_LOG_QUEUE_TABLE,REQUEST
LONG RAW,4,DIS_ALL_DOCS,DOCUMENT
DBPARAMS_LIST,4,BROKER_CONFIGS,DBPARAMS
TIMESTAMP(9),3,AQ$CHANGE_LOG_QUEUE_TABLE,DEQ_TIMESTAMP
TIMESTAMP(9) WITH TIME ZONE,3,APEX_TASK_COMMENTS,ACTION_TIMESTAMP
INSTANCE_LIST,2,GSM_REQUESTS,INSTANCES
NUMBER_LIST,1,CATALOG_REQUESTS,SHSPACE_LIST
AQ$_RECIPIENTS,1,AQ$_RECV_CFO_QUEUE_TABLE_D,RSUBS
INTERVAL DAY(9) TO SECOND(6),1,APEX_SCHEDULER_JOBS,LAST_RUN_DURATION
INTERVAL DAY(2) TO SECOND(6),1,WWV_FLOW_BACKUP_LOG,DURATION
WWV_FLOW_T_NUMBER,1,WWV_FLOW_APPL_EXPORT_COMPS,USED_ON_PAGES
UROWID,1,MAINT_EXCEPTIONS,TBL_ROWID
