
'OWNER'||','||'TABLE_NAME'||','||'CONSTRAINT_NAME'||','||'COLUMN_NAME'||','||'POSITION'||','||'R_OWN
OWNER,TABLE_NAME,CONSTRAINT_NAME,COLUMN_NAME,POSITION,R_OWNER,R_TABLE_NAME,R_COLUMN_NAME,DELETE_RULE

CON.OWNER||','||CON.TABLE_NAME||','||CON.CONSTRAINT_NAME||','||COL.COLUMN_NAME||','||COL.POSITION||','||CON.R_OWNER||','||RCON.TABLE_NAME||','||RCOL.COLUMN_NAME||','||NVL(CON.DELETE_RULE,'NOACTION')
ACTS,ACTS_D_MAINT_DOC,FK_ACTS_D_MAINT_DOC,MAINT_PK,1,ACTS,ACTS_D_MAINT,DUMMY_PK,NO ACTION
ACTS,ACTS_REPORTCODES_DICT_TBL,ACTS_REPORTCODES_DICT_TBL_FK1,FAIL_CODE_TYPE,1,ACTS,ACTS_CODE_DICT,CODE_TYPE,NO ACTION
ACTS,ACTS_REPORTCODES_DICT_TBL,ACTS_REPORTCODES_DICT_TBL_FK1,FAIL_CODE,2,ACTS,ACTS_CODE_DICT,CODE,NO ACTION
ACTS,ACTS_REPORTCODES_DICT_TBL,ACTS_REPORTCODES_DICT_TBL_FK2,REPAIR_CODE_TYPE,1,ACTS,ACTS_CODE_DICT,CODE_TYPE,NO ACTION
ACTS,ACTS_REPORTCODES_DICT_TBL,ACTS_REPORTCODES_DICT_TBL_FK2,REPAIR_CODE,2,ACTS,ACTS_CODE_DICT,CODE,NO ACTION
ACTS,ACTS_REPORTCODES_DICT_TBL,ACTS_REPORTCODES_DICT_TBL_FK3,REPORT_CODE_TYPE,1,ACTS,ACTS_CODE_DICT,CODE_TYPE,NO ACTION
ACTS,ACTS_REPORTCODES_DICT_TBL,ACTS_REPORTCODES_DICT_TBL_FK3,REPORT_CODE,2,ACTS,ACTS_CODE_DICT,CODE,NO ACTION
ACTS,ACTS_REPORTCODES_DICT_TBL,ACTS_REPORTCODES_DICT_TBL_FK4,STATUS_CODE_TYPE,1,ACTS,ACTS_CODE_DICT,CODE_TYPE,NO ACTION
ACTS,ACTS_REPORTCODES_DICT_TBL,ACTS_REPORTCODES_DICT_TBL_FK4,STATUS_CODE,2,ACTS,ACTS_CODE_DICT,CODE,NO ACTION
AGGREGATE,ADPE_EMPLOYEE,FK_ADEMP_BLDG,ROOM_ID,1,AGGREGATE,ADPE_BUILDING,ROOM_ID,NO ACTION
AGGREGATE,ADPE_EMPLOYEE,FK_ADEMP_USER,USER_ID,1,AGGREGATE,AGG_USER,USER_ID,NO ACTION
AGGREGATE,ADPE_HARDWARE,FK_ADHW_BLDG,ROOM_ID,1,AGGREGATE,ADPE_BUILDING,ROOM_ID,NO ACTION
AGGREGATE,ADPE_HARDWARE,FK_ADHW_EMP,EMP_ID,1,AGGREGATE,ADPE_EMPLOYEE,EMP_ID,NO ACTION
AGGREGATE,ADPE_HW_SW,FK_ADHWSW_HW,HW_ID,1,AGGREGATE,ADPE_HARDWARE,HW_ID,NO ACTION
AGGREGATE,ADPE_HW_SW,FK_ADHWSW_SW,SW_ID,1,AGGREGATE,ADPE_SOFTWARE,SW_ID,NO ACTION
AGGREGATE,AGG_APP_EMAIL,FK_AAE_APP,APP_NAME,1,AGGREGATE,AGG_APP,APP_NAME,NO ACTION
