
'OWNER'||','||'INDEX_NAME'||','||'TABLE_OWNER'||','||'TABLE_NAME'||','||'UNIQUENESS'||','||'INDEX
OWNER,INDEX_NAME,TABLE_OWNER,TABLE_NAME,UNIQUENESS,INDEX_TYPE,COLUMN_NAME,COLUMN_POSITION,DESCEND

I.OWNER||','||I.INDEX_NAME||','||I.TABLE_OWNER||','||I.TABLE_NAME||','||I.UNIQUENESS||','||I.INDEX_TYPE||','||IC.COLUMN_NAME||','||IC.COLUMN_POSITION||','||IC.DESCEND
ACTS,UQ_ACTS_CODE_DICT,ACTS,ACTS_CODE_DICT,UNIQUE,NORMAL,CODE_TYPE,1,ASC
ACTS,UQ_ACTS_CODE_DICT,ACTS,ACTS_CODE_DICT,UNIQUE,NORMAL,CODE,2,ASC
ACTS,PK_236,ACTS,ACTS_D_236,UNIQUE,NORMAL,ID,1,ASC
ACTS,PK_ACTS_D_BASE_DICT,ACTS,ACTS_D_BASE_DICT,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_D_EQP_SCHED,ACTS,ACTS_D_EQP_SCHED,UNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,PK_D_EQP_SCHED,ACTS,ACTS_D_EQP_SCHED,UNIQUE,NORMAL,SERNO,2,ASC
ACTS,PK_D_EQP_SCHED,ACTS,ACTS_D_EQP_SCHED,UNIQUE,NORMAL,PARTNO,3,ASC
ACTS,PK_D_EQP_SCHED,ACTS,ACTS_D_EQP_SCHED,UNIQUE,NORMAL,ID_NAME,4,ASC
ACTS,PK_D_EQP_SCHED,ACTS,ACTS_D_EQP_SCHED,UNIQUE,NORMAL,PRD_TIME,5,ASC
ACTS,ACTS_D_MAINT_JOB_ID,ACTS,ACTS_D_MAINT,NONUNIQUE,NORMAL,JOB_ID,1,ASC
ACTS,ACTS_D_MAINT_PARTNO,ACTS,ACTS_D_MAINT,NONUNIQUE,NORMAL,PARTNO,1,ASC
ACTS,ACTS_D_MAINT_SERNO,ACTS,ACTS_D_MAINT,NONUNIQUE,NORMAL,SERNO,1,ASC
ACTS,ACTS_D_MAINT_SYS_TYPE,ACTS,ACTS_D_MAINT,NONUNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,ACTS_D_MAINT_UQ,ACTS,ACTS_D_MAINT,UNIQUE,NORMAL,JOB_ID,1,ASC
ACTS,ACTS_D_MAINT_UQ,ACTS,ACTS_D_MAINT,UNIQUE,NORMAL,MAINT_TAB,2,ASC
ACTS,ACTS_D_MAINT_UQ,ACTS,ACTS_D_MAINT,UNIQUE,NORMAL,PARTNO,3,ASC
ACTS,ACTS_D_MAINT_UQ,ACTS,ACTS_D_MAINT,UNIQUE,NORMAL,SEQ,4,ASC
ACTS,ACTS_D_MAINT_UQ,ACTS,ACTS_D_MAINT,UNIQUE,NORMAL,SERNO,5,ASC
ACTS,ACTS_D_MAINT_UQ,ACTS,ACTS_D_MAINT,UNIQUE,NORMAL,SYS_TYPE,6,ASC
ACTS,IDX_DMAINT_SYSPNSN,ACTS,ACTS_D_MAINT,NONUNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,IDX_DMAINT_SYSPNSN,ACTS,ACTS_D_MAINT,NONUNIQUE,NORMAL,PARTNO,2,ASC
ACTS,IDX_DMAINT_SYSPNSN,ACTS,ACTS_D_MAINT,NONUNIQUE,NORMAL,SERNO,3,ASC
ACTS,IDX_DMAINT_TABSYSPNSN,ACTS,ACTS_D_MAINT,NONUNIQUE,NORMAL,MAINT_TAB,1,ASC
ACTS,IDX_DMAINT_TABSYSPNSN,ACTS,ACTS_D_MAINT,NONUNIQUE,NORMAL,SYS_TYPE,2,ASC
ACTS,IDX_DMAINT_TABSYSPNSN,ACTS,ACTS_D_MAINT,NONUNIQUE,NORMAL,PARTNO,3,ASC
ACTS,IDX_DMAINT_TABSYSPNSN,ACTS,ACTS_D_MAINT,NONUNIQUE,NORMAL,SERNO,4,ASC
ACTS,PK_ACTS_D_MAINT,ACTS,ACTS_D_MAINT,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_D_MAINT_DOC,ACTS,ACTS_D_MAINT_DOC,UNIQUE,NORMAL,DOC_ID,1,ASC
ACTS,PK_ACTS_D_MAINT_HIST,ACTS,ACTS_D_MAINT_HIST,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_D_MAINT_HIST,ACTS,ACTS_D_MAINT_HIST,UNIQUE,NORMAL,HIST_DATE,2,ASC
ACTS,ACTS_D_MAINT_REC_JOB_ID,ACTS,ACTS_D_MAINT_REC,NONUNIQUE,NORMAL,JOB_ID,1,ASC
ACTS,ACTS_D_MAINT_REC_PARTNO,ACTS,ACTS_D_MAINT_REC,NONUNIQUE,NORMAL,PARTNO,1,ASC
ACTS,ACTS_D_MAINT_REC_SERNO,ACTS,ACTS_D_MAINT_REC,NONUNIQUE,NORMAL,SERNO,1,ASC
ACTS,ACTS_D_MAINT_REC_SYS_TYPE,ACTS,ACTS_D_MAINT_REC,NONUNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,ACTS_D_MAINT_REC_UQ,ACTS,ACTS_D_MAINT_REC,UNIQUE,NORMAL,JOB_ID,1,ASC
ACTS,ACTS_D_MAINT_REC_UQ,ACTS,ACTS_D_MAINT_REC,UNIQUE,NORMAL,PARTNO,2,ASC
ACTS,ACTS_D_MAINT_REC_UQ,ACTS,ACTS_D_MAINT_REC,UNIQUE,NORMAL,SERNO,3,ASC
ACTS,ACTS_D_MAINT_REC_UQ,ACTS,ACTS_D_MAINT_REC,UNIQUE,NORMAL,SYS_TYPE,4,ASC
ACTS,IDX_DMNTREC_SPSJOB,ACTS,ACTS_D_MAINT_REC,NONUNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,IDX_DMNTREC_SPSJOB,ACTS,ACTS_D_MAINT_REC,NONUNIQUE,NORMAL,PARTNO,2,ASC
ACTS,IDX_DMNTREC_SPSJOB,ACTS,ACTS_D_MAINT_REC,NONUNIQUE,NORMAL,SERNO,3,ASC
ACTS,IDX_DMNTREC_SPSJOB,ACTS,ACTS_D_MAINT_REC,NONUNIQUE,NORMAL,JOB_ID,4,ASC
ACTS,IDX_DMNTREC_SYSPNSN,ACTS,ACTS_D_MAINT_REC,NONUNIQUE,NORMAL,SYS_TYPE,1,ASC
ACTS,IDX_DMNTREC_SYSPNSN,ACTS,ACTS_D_MAINT_REC,NONUNIQUE,NORMAL,PARTNO,2,ASC
ACTS,IDX_DMNTREC_SYSPNSN,ACTS,ACTS_D_MAINT_REC,NONUNIQUE,NORMAL,SERNO,3,ASC
ACTS,PK_ACTS_D_MAINT_REC,ACTS,ACTS_D_MAINT_REC,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_D_MAINT_REC_HIST,ACTS,ACTS_D_MAINT_REC_HIST,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_D_MAINT_REC_HIST,ACTS,ACTS_D_MAINT_REC_HIST,UNIQUE,NORMAL,HIST_DATE,2,ASC
ACTS,ACTS_D_MAINT_TRACK_UQ,ACTS,ACTS_D_MAINT_TRACK,UNIQUE,NORMAL,INSTALL_JOB_ID,1,ASC
ACTS,ACTS_D_MAINT_TRACK_UQ,ACTS,ACTS_D_MAINT_TRACK,UNIQUE,NORMAL,PARTNO,2,ASC
ACTS,ACTS_D_MAINT_TRACK_UQ,ACTS,ACTS_D_MAINT_TRACK,UNIQUE,NORMAL,REM_JOB_ID,3,ASC
ACTS,ACTS_D_MAINT_TRACK_UQ,ACTS,ACTS_D_MAINT_TRACK,UNIQUE,NORMAL,SERNO,4,ASC
ACTS,PK_ACTS_D_MAINT_TRACK,ACTS,ACTS_D_MAINT_TRACK,UNIQUE,NORMAL,DUMMY_PK,1,ASC
ACTS,PK_ACTS_D_PART_INV,ACTS,ACTS_D_PART_INV,UNIQUE,NORMAL,PART_ID,1,ASC
ACTS,UQ_ACTS_D_PART_INV,ACTS,ACTS_D_PART_INV,UNIQUE,NORMAL,SERNO,1,ASC
ACTS,UQ_ACTS_D_PART_INV,ACTS,ACTS_D_PART_INV,UNIQUE,NORMAL,PARTNO,2,ASC
