
'SEQUENCE_OWNER'||','||'SEQUENCE_NAME'||','||'MIN_VALUE'||','||'MAX_VALUE'||','||'INCREMENT_BY'
SEQUENCE_OWNER,SEQUENCE_NAME,MIN_VALUE,MAX_VALUE,INCREMENT_BY,CYCLE_FLAG,CACHE_SIZE,LAST_NUMBER

SEQUENCE_OWNER||','||SEQUENCE_NAME||','||MIN_VALUE||','||MAX_VALUE||','||INCREMENT_BY||','||CYCLE_FLAG||','||CACHE_SIZE||','||LAST_NUMBER
ACTS,ACS_CTRL_NO_SEQ,1,999999999999999999999999999,1,N,0,14120
ACTS,ACS_HIST_CTRL_NO_SEQ,1,999999999999999999999999999,1,N,0,11
ACTS,ACTS_BASE_DICT_SEQ,1,999999999999999999999999999,1,N,20,161
ACTS,ACTS_CODE_DICT_SEQ,1,999999999999999999999999999,1,N,20,341
ACTS,ACTS_D_BASE_DICT_SEQ,1,999999999999999999999999999,1,N,20,1209
ACTS,ACTS_D_MAINT_BACKUP_SEQ,1,999999999999999999999999999,1,N,20,6681
ACTS,ACTS_D_MAINT_REC_SEQ,1,999999999999999999999999999,1,N,20,462591
ACTS,ACTS_D_MAINT_SEQ,1,999999999999999999999999999,1,N,20,469522
ACTS,ACTS_D_MAINT_TEMP_SEQ,1,999999999999999999999999999,1,N,20,1
ACTS,ACTS_D_MAINT_TRACK_SEQ,1,999999999999999999999999999,1,N,20,61
ACTS,ACTS_D_PMC_LIM_SEQ,1,999999999999999999999999999,1,N,20,368
ACTS,ACTS_D_SORTIE_SEQ,1,999999999999999999999999999,1,N,20,8326038
ACTS,ACTS_D_SYS_CONFIG_HIST_SEQ,1,999999999999999999999999999,1,N,20,162237
ACTS,ACTS_D_SYS_CONFIG_SEQ,1,999999999999999999999999999,1,N,20,84902
ACTS,ACTS_D_SYS_INV_HIST_SEQ,1,999999999999999999999999999,1,N,20,100614
ACTS,ACTS_D_SYS_INV_SEQ,1,999999999999999999999999999,1,N,20,2042
ACTS,ACTS_D_SYS_MOD_SEQ,1,999999999999999999999999999,1,N,20,4283
ACTS,ACTS_D_SYS_PMI_SEQ,1,999999999999999999999999999,1,N,20,924
ACTS,ACTS_D_TEST_SEQ,1,999999999999999999999999999,1,N,20,36206
ACTS,ACTS_D_TIME_BACKUP_SEQ,1,999999999999999999999999999,1,N,20,961
ACTS,ACTS_D_TIME_OLD_SEQ,1,999999999999999999999999999,1,N,20,121
ACTS,ACTS_D_TIME_SEQ,1,999999999999999999999999999,1,N,20,143351
ACTS,ACTS_D_TIME_TEMP_SEQ,1,999999999999999999999999999,1,N,20,961
ACTS,ACTS_FIELD_SITE_LIST_SEQ,1,999999999999999999999999999,1,N,20,21
ACTS,ACTS_LOOKUP_VER_SEQ,1,999999999999999999999999999,1,N,20,21
