
'OWNER'||','||'TRIGGER_NAME'||','||'TABLE_OWNER'||','||'TABLE_NAME'||','||'TRI
OWNER,TRIGGER_NAME,TABLE_OWNER,TABLE_NAME,TRIGGER_TYPE,TRIGGERING_EVENT,STATUS

OWNER||','||TRIGGER_NAME||','||TABLE_OWNER||','||TABLE_NAME||','||TRIGGER_TYPE||','||TRIGGERING_EVENT||','||STATUS
ACTS,ACTS_D_BASE_DICT_TRG,ACTS,ACTS_D_BASE_DICT,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_D_BASE_DICT_UPDATE,ACTS,ACTS_D_BASE_DICT,AFTER EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
ACTS,ACTS_D_MAINT_TRG,ACTS,ACTS_D_MAINT,BEFORE EACH ROW,INSERT OR UPDATE,ENABLED
ACTS,ACTS_D_MAINT_DOC_TRG,ACTS,ACTS_D_MAINT_DOC,BEFORE EACH ROW,INSERT OR UPDATE,ENABLED
ACTS,ACTS_D_MAINT_REC_TRG,ACTS,ACTS_D_MAINT_REC,BEFORE EACH ROW,INSERT OR UPDATE,ENABLED
ACTS,ACTS_D_MAINT_TRACK_TRG,ACTS,ACTS_D_MAINT_TRACK,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_D_PMC_LIM_TRG,ACTS,ACTS_D_PMC_LIM,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_D_SEQ_LOG_TRG,ACTS,ACTS_D_SEQ_LOG,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_D_SORTIE_TRG,ACTS,ACTS_D_SORTIE,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_D_SYS_CONFIG_TRG,ACTS,ACTS_D_SYS_CONFIG,BEFORE EACH ROW,INSERT OR UPDATE,ENABLED
ACTS,ACTS_D_SYS_CONFIG_HIST_TRG,ACTS,ACTS_D_SYS_CONFIG_HIST,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_D_SYS_INV_TRG,ACTS,ACTS_D_SYS_INV,BEFORE EACH ROW,INSERT OR UPDATE OR DELETE,ENABLED
ACTS,ACTS_D_SYS_INV_HIST_TRG,ACTS,ACTS_D_SYS_INV_HIST,BEFORE EACH ROW,INSERT,ENABLED
ACTS,ACTS_D_SYS_MOD_TRG,ACTS,ACTS_D_SYS_MOD,BEFORE EACH ROW,INSERT,ENABLED
