
'OWNER'||','||'TABLE_NAME'||','||'CONSTRAINT_NAME'||'
OWNER,TABLE_NAME,CONSTRAINT_NAME,COLUMN_NAME,POSITION

CON.OWNER||','||CON.TABLE_NAME||','||CON.CONSTRAINT_NAME||','||COL.COLUMN_NAME||','||COL.POSITION
ACTS,ACTS_CODE_DICT,UQ_ACTS_CODE_DICT,CODE_TYPE,1
ACTS,ACTS_CODE_DICT,UQ_ACTS_CODE_DICT,CODE,2
ACTS,ACTS_D_MAINT,ACTS_D_MAINT_UQ,JOB_ID,1
ACTS,ACTS_D_MAINT,ACTS_D_MAINT_UQ,MAINT_TAB,2
ACTS,ACTS_D_MAINT,ACTS_D_MAINT_UQ,PARTNO,3
ACTS,ACTS_D_MAINT,ACTS_D_MAINT_UQ,SEQ,4
ACTS,ACTS_D_MAINT,ACTS_D_MAINT_UQ,SERNO,5
ACTS,ACTS_D_MAINT,ACTS_D_MAINT_UQ,SYS_TYPE,6
ACTS,ACTS_D_MAINT_REC,ACTS_D_MAINT_REC_UQ,JOB_ID,1
ACTS,ACTS_D_MAINT_REC,ACTS_D_MAINT_REC_UQ,PARTNO,2
ACTS,ACTS_D_MAINT_REC,ACTS_D_MAINT_REC_UQ,SERNO,3
ACTS,ACTS_D_MAINT_REC,ACTS_D_MAINT_REC_UQ,SYS_TYPE,4
ACTS,ACTS_D_MAINT_TRACK,ACTS_D_MAINT_TRACK_UQ,INSTALL_JOB_ID,1
ACTS,ACTS_D_MAINT_TRACK,ACTS_D_MAINT_TRACK_UQ,PARTNO,2
ACTS,ACTS_D_MAINT_TRACK,ACTS_D_MAINT_TRACK_UQ,REM_JOB_ID,3
ACTS,ACTS_D_MAINT_TRACK,ACTS_D_MAINT_TRACK_UQ,SERNO,4
ACTS,ACTS_D_PART_INV,UQ_ACTS_D_PART_INV,SERNO,1
ACTS,ACTS_D_PART_INV,UQ_ACTS_D_PART_INV,PARTNO,2
ACTS,ACTS_D_PART_INV_HIST,UQ_ACTS_D_PART_INV_HIST,PART_ID,1
ACTS,ACTS_D_PART_INV_HIST,UQ_ACTS_D_PART_INV_HIST,HIST_DATE,2
ACTS,ACTS_D_PMC_LIM,ACTS_D_PMC_LIM_UQ,SERNO,1
